OBJECTID,NHSD_OPERATIONALSTATUS,NHSD_ORGANISATION_NAME,NHSD_ADDRESS,NHSD_SUBURB,NHSD_STATE,NHSD_POSTCODE,NHSD_LONG,NHSD_LAT,NHSD_SERVICE_ID,NHSD_SERVICE_TYPE,GNAF_ADDRESS_DETAIL_PID,GA_CLASS,GA_SOURCE_DATE
14393,active,Racecourse Road Pharmacy,119 Racecourse Road Ascot QLD 4007,Ascot,QLD,4007,153.0655365,-27.43351555,1fe92aa5-702d-5f63-f6b1-90331c543cab,Pharmacy service,,PHARMACY,2024-03-05
14394,active,Malvern TerryWhite Chemmart Pharmacy,291-293 Unley Road Malvern SA 5061,Malvern,SA,5061,138.6085815,-34.95929337,232a79ac-a48d-e6da-bb6f-a63131ee7cb4,Pharmacy service,GASA_416657787,PHARMACY,2024-03-05
14395,active,Ramsay Pharmacy Sunshine Coast,3 Doherty Street Birtinya QLD 4575,Birtinya,QLD,4575,153.1143799,-26.74431229,581a171d-ef85-fc44-27fd-cbff04e80aa6,Pharmacy service,GAQLD425425380,PHARMACY,2024-03-05
14396,active,Blooms The Chemist - Springwood,161 Macquarie Road Springwood NSW 2777,Springwood,NSW,2777,150.5660858,-33.69857025,95903299-f6dc-0f34-af01-a86664986b87,Pharmacy service,,PHARMACY,2024-03-05
14397,active,St Ives Pharmacy,169-177 Mona Vale Road St Ives NSW 2075,St Ives,NSW,2075,151.1568298,-33.73176956,f8fd0da0-a251-61e9-b03a-e5857f31e103,Pharmacy service,,PHARMACY,2024-03-05
14398,active,Lake Munmorah Pharmacy,95 Anita Avenue Lake Munmorah NSW 2259,Lake Munmorah,NSW,2259,151.5705719,-33.19416046,48861e08-54f4-64c3-0a81-6b5253bcea42,Pharmacy service,,PHARMACY,2024-03-05
14399,active,Hinterland Day And Night Pharmacy,5 Price Street Nerang QLD 4211,Nerang,QLD,4211,153.3367615,-27.98818016,57ca5419-f680-1ee8-fd79-773481d6ee86,Pharmacy service,GAQLD156937013,PHARMACY,2024-03-05
14400,active,Vitahouse Pharmacy,22-24 Henley Road Homebush West NSW 2140,Homebush West,NSW,2140,151.0698525,-33.86658111,b0bd0f60-c722-4355-8614-ffa9d2e64322,Pharmacy service,GANSW708086320,PHARMACY,2024-03-05
14401,active,Optimal Pharmacy Plus Meadow Springs,25 Meadow Springs Drive Meadow Springs WA 6210,Meadow Springs,WA,6210,115.74795,-32.49328,3c840d51-76ce-b77e-20f6-8c3b6c8b0376,Pharmacy service,GAWA_148983114,PHARMACY,2024-03-05
14402,active,DIRECT CHEMIST OUTLET PACIFIC PARADISE,722-728 David Low Way Pacific Paradise QLD 4564,Pacific Paradise,QLD,4564,153.0825195,-26.61423302,8f5e04ea-f9be-01dc-d3d8-1aa36630c424,Pharmacy service,,PHARMACY,2024-03-05
14403,active,Chemist Warehouse - Perth,109 Murray Street Perth WA 6000,Perth,WA,6000,115.861763,-31.95444298,6757e053-1bdf-b462-2165-8fbb7326eb62,Pharmacy service,,PHARMACY,2024-03-05
14404,active,Craignish Pharmacy,1-7 Karraschs Rd Craignish QLD 4655,Craignish,QLD,4655,152.747698,-25.282596,d3441b8c-77ac-40f6-6d2d-ce85679ba024,Pharmacy service,GAQLD719089512,PHARMACY,2024-03-05
14405,active,Bibra Lake Pharmacy,134 Parkway Road Bibra Lake WA 6163,Bibra Lake,WA,6163,115.840477,-32.09275818,f6513ea6-1010-5fee-85e8-f36522a94c6b,Pharmacy service,,PHARMACY,2024-03-05
14406,active,Chemist Warehouse Penrith Central,457 High Street Penrith NSW 2750,Penrith,NSW,2750,150.6969532,-33.75319465,fbbbee68-9f23-486d-94a5-f5fc3a770cdb,Pharmacy service,,PHARMACY,2024-03-05
14407,active,LiveLife Pharmacy Coolum Beach,1776-1784 David Low Way Coolum Beach QLD 4573,Coolum Beach,QLD,4573,153.0918427,-26.53152657,ff2d95ff-803c-3717-5302-bd72aff375e2,Pharmacy service,,PHARMACY,2024-03-05
14408,active,Safety Bay Pharmacy,220 Safety Bay Road Safety Bay WA 6169,Safety Bay,WA,6169,115.7114944,-32.30277252,c9014b2d-c785-167a-57f3-f598cf1436c2,Pharmacy service,GAWA_146843252,PHARMACY,2024-03-05
14409,active,Chemist Works Clinic Boolaroo,31 Main Road Boolaroo NSW 2284,Boolaroo,NSW,2284,151.6230621,-32.95203018,c11bc110-0ac0-064c-a488-5980a6e122a5,Pharmacy service,GANSW711810604,PHARMACY,2024-03-05
14410,active,Burdekin Park Pharmacy,94 George Street Singleton NSW 2330,Singleton,NSW,2330,151.1766205,-32.5633812,a5202602-d302-64ee-8ac1-4e62b3895199,Pharmacy service,GANSW705927017,PHARMACY,2024-03-05
14411,active,Kanwal Pharmacy - Medical Centre,654 Pacific Highway Kanwal NSW 2259,Kanwal,NSW,2259,151.4806671,-33.26248932,afe1c500-a37e-baa3-8b17-21ba61e9c842,Pharmacy service,,PHARMACY,2024-03-05
14412,active,Priceline Pharmacy - Campbelltown Mall,271-281 Queen Street Campbelltown NSW 2560,Campbelltown,NSW,2560,150.8108826,-34.06885529,acb23ad6-807e-eb40-0e37-e28e0feb8093,Pharmacy service,,PHARMACY,2024-03-05
14413,active,Mount Pleasant Pharmacy,108 Melrose Street Mount Pleasant SA 5235,Mount Pleasant,SA,5235,139.0491638,-34.77492142,0aafd54c-c4d9-8695-0e34-f279c9461621,Pharmacy service,GASA_416175060,PHARMACY,2024-03-05
14414,active,Toongabbie Discount Drug Stores,13 Aurelia Street Toongabbie NSW 2146,Toongabbie,NSW,2146,150.9498138,-33.78789902,c885d67c-292c-a450-fdd9-d4c0dabc3056,Pharmacy service,,PHARMACY,2024-03-05
14415,active,Mudgee Pharmacy,96 Church Street Mudgee NSW 2850,Mudgee,NSW,2850,149.5877991,-32.59343719,880a90f9-6acc-3ba3-4da2-ff2eadcfb4a0,Pharmacy service,GANSW705450522,PHARMACY,2024-03-05
14416,active,Territory Pharmacy Stuart Park,5 Westralia Street Stuart Park NT 0820,Stuart Park,NT,820,130.8418884,-12.44469166,f70d2689-8d9f-c3af-3232-2ed58dadf9ff,Pharmacy service,GANT_702987139,PHARMACY,2024-03-05
14417,active,Chemist Warehouse South Launceston,98 Wellington Street Launceston TAS 7250,Launceston,TAS,7250,147.1381989,-41.44327545,3a1c3b05-e0eb-6011-918b-8f5a6976d4ad,Pharmacy service,GATAS702352942,PHARMACY,2024-03-05
14418,active,Colbee Court Late Night Chemist,33 Colbee Court Phillip ACT 2606,Phillip,ACT,2606,149.0897217,-35.35149765,4dff3133-92a8-6e61-49d5-9b99075a8dda,Pharmacy service,GAACT717572074,PHARMACY,2024-03-05
14419,active,Masen's Pharmacy,61 Armidale Street South Grafton NSW 2460,South Grafton,NSW,2460,152.940506,-29.71422005,96157a15-9d33-9888-b367-b0ea44973caa,Pharmacy service,GANSW717205061,PHARMACY,2024-03-05
14420,active,Pharmacy 4 Less Bankstown Central,1 North Terrace Bankstown NSW 2200,Bankstown,NSW,2200,151.038097,-33.91613126,0d07d2af-0a04-4776-939a-4679dd7f0754,Pharmacy service,,PHARMACY,2024-03-05
14421,active,Diana's Pharmacy Peakhurst Heights,44 Pindari Road Peakhurst Heights NSW 2210,Peakhurst Heights,NSW,2210,151.0544586,-33.97365952,09dee666-6863-ca71-0cdb-98c8295563ea,Pharmacy service,,PHARMACY,2024-03-05
14422,active,Surrey Hills Pharmacy,152 Union Road Surrey Hills VIC 3127,Surrey Hills,VIC,3127,145.0973969,-37.82342148,7f75d588-7b60-e802-4c35-115171483938,Pharmacy service,GAVIC420261461,PHARMACY,2024-03-05
14423,active,Chemist Warehouse Gympie,35-37 Edwin Campion Drive Gympie QLD 4570,Gympie,QLD,4570,152.6892548,-26.22051811,3b98518d-6e2d-ceff-9901-d132c74da834,Pharmacy service,,PHARMACY,2024-03-05
14424,active,Macquarie Discount Pharmacy,Lachlan Street Macquarie ACT 2614,Macquarie,ACT,2614,149.0618896,-35.24912262,c50116bd-3f15-f936-7092-4b2da946106b,Pharmacy service,,PHARMACY,2024-03-05
14425,active,cooranbong pharmacy,563 Freemans Drive Cooranbong NSW 2265,Cooranbong,NSW,2265,151.4540558,-33.0761261,0c608b4c-85e4-6306-aec2-108aaa0572f0,Pharmacy service,,PHARMACY,2024-03-05
14426,active,Pharmacy Nutrition Warehouse - Toongabbie,30 Aurelia Street Toongabbie NSW 2146,Toongabbie,NSW,2146,150.9502675,-33.78827401,5d3ae912-10f1-57a7-5a93-a0b421c7712c,Pharmacy service,GANSW716769581,PHARMACY,2024-03-05
14427,active,Chemist Warehouse - The Links SC Oakleigh South,1041 Centre Road Oakleigh South VIC 3167,Oakleigh South,VIC,3167,145.0855408,-37.92327118,b484c498-2cc5-1820-68bb-63b758b2ea25,Pharmacy service,,PHARMACY,2024-03-05
14428,active,Clermont Pharmacy,48 Daintree Street Clermont QLD 4721,Clermont,QLD,4721,147.6392212,-22.82412338,0c17bc85-840c-195b-dd1e-53bb62a4cd64,Pharmacy service,GAQLD162135650,PHARMACY,2024-03-05
14429,active,Chemist Warehouse Salisbury,85a John Street Salisbury SA 5108,Salisbury,SA,5108,138.6471968,-34.76226087,3c79dc80-1ed0-4f1c-b99a-1e723abf08b3,Pharmacy service,GASA_415403047,PHARMACY,2024-03-05
14430,active,Toogoom Pharmacy,6 Jeppeson Road Toogoom QLD 4655,Toogoom,QLD,4655,152.6909637,-25.25623894,455343ee-1c19-11cb-12f8-d919e12bed9b,Pharmacy service,GAQLD162629141,PHARMACY,2024-03-05
14431,active,Our Medical Home Gregory Hills,33 Village Circuit Gregory Hills NSW 2557,Gregory Hills,NSW,2557,150.7767334,-34.02623749,0ede09f8-8f5c-9c18-5e93-23df70d26b19,Pharmacy service,,PHARMACY,2024-03-05
14432,active,National Pharmacies - Glenunga,297 Glen Osmond Road Glenunga SA 5064,Glenunga,SA,5064,138.6355591,-34.95222092,ccb1ff50-a0ec-1f31-ba6b-c36ff889b6f5,Pharmacy service,GASA_416681971,PHARMACY,2024-03-05
14433,active,YOKINE PHARMACY,224 Swan Street Yokine WA 6060,Yokine,WA,6060,115.8488922,-31.89328194,8785e859-f085-91ef-12ca-ba0f45c2b2d5,Pharmacy service,GAWA_718679671,PHARMACY,2024-03-05
14434,active,Canterbury Hospital Pharmacy,575 Canterbury Road Campsie NSW 2194,Campsie,NSW,2194,151.098877,-33.92037582,7de23610-cabe-8775-fcda-027b73483e2c,Hospital pharmacy service,,PHARMACY,2024-03-05
14435,active,Priceline Pharmacy - Noosa Civic,28 Eenie Creek Road Noosaville QLD 4566,Noosaville,QLD,4566,153.0489502,-26.42173195,6df017be-db0f-5117-7760-0667a000d281,Pharmacy service,,PHARMACY,2024-03-05
14436,active,Convenient Chemist Wollongong,330 Crown St Wollongong NSW 2500,Wollongong,NSW,2500,150.88656,-34.425187,ead9467f-1aad-88cf-78b8-e5419d103de1,Pharmacy service,GANSW712360942,PHARMACY,2024-03-05
14437,active,Sans Souci Pharmacy,500 Rocky Point Road Sans Souci NSW 2219,Sans Souci,NSW,2219,151.1326447,-33.99190903,de3fb642-3ba4-6882-eb29-2cd068ab563e,Pharmacy service,,PHARMACY,2024-03-05
14438,active,Ashby Medical Centre Pharmacy,84 Penshurst Street Penshurst NSW 2222,Penshurst,NSW,2222,151.0872109,-33.96355062,b2d5e2cc-563c-4f87-4bbe-ad152edb21de,Pharmacy service,GANSW705667746,PHARMACY,2024-03-05
14439,active,Trinity Discount Drug Store,12 Longstaff Avenue Alkimos WA 6038,Alkimos,WA,6038,115.691894,-31.628048,8ad35719-72a3-4785-6724-8414a42733bb,Pharmacy service,,PHARMACY,2024-03-05
14440,active,BAKERS PHARMACY,141 Taylor Street Newtown QLD 4350,Newtown,QLD,4350,151.934633,-27.554311,7c682d59-ca0c-4a11-7aab-c1a21d29cc99,Pharmacy service,GAQLD160758815,PHARMACY,2024-03-05
14441,active,Market Place Pharmacy - Kwinana,4 Chisham Avenue Kwinana Town Centre WA 6167,Kwinana Town Centre,WA,6167,115.813858,-32.23192215,be2d7dc6-a678-8879-371c-4afb2550696a,Pharmacy service,,PHARMACY,2024-03-05
14442,active,Blooms the Chemist - Sawtell,37 First Avenue Sawtell NSW 2452,Sawtell,NSW,2452,153.0998993,-30.36882782,3df7b21d-cd79-6dd6-ab26-bf269f9955e6,Pharmacy service,,PHARMACY,2024-03-05
14443,active,TerryWhite Chemmart - Buderim,16/18 King Street Buderim QLD 4556,Buderim,QLD,4556,153.0567627,-26.68405533,a391d5ce-3a23-437a-524d-91cd1531c8cc,Pharmacy service,,PHARMACY,2024-03-05
14444,active,Priceline Pharmacy Elizabeth,50 Elizabeth Way Elizabeth SA 5112,Elizabeth,SA,5112,138.6690063,-34.71870041,585597fd-ab43-1f7c-6aef-ac55cca0c1db,Pharmacy service,GASA_416844240,PHARMACY,2024-03-05
14445,active,Chemist Warehouse Burleigh Waters,7 Classic Way Burleigh Waters QLD 4220,Burleigh Waters,QLD,4220,153.4250336,-28.09968758,b745e29e-be0d-4adb-08ea-8f58e0ac2680,Pharmacy service,,PHARMACY,2024-03-05
14446,active,Priceline Pharmacy James Street,6 James Street Fortitude Valley QLD 4006,Fortitude Valley,QLD,4006,153.0390983,-27.45529304,a2c9bb1c-4631-4f7b-3bb2-9c0a072aa111,Pharmacy service,GAQLD720208432,PHARMACY,2024-03-05
14447,active,terrywhite chemmart marrickville,280 Marrickville Road Marrickville NSW 2204,Marrickville,NSW,2204,151.1567309,-33.91096783,ec82c55e-90ea-4934-856b-e7c3126cb737,Pharmacy service,GANSW705298926,PHARMACY,2024-03-05
14448,active,Highway Pharmacy,825 Princes Highway Springvale VIC 3171,Springvale,VIC,3171,145.1571503,-37.93401337,830b9518-c295-1fc5-920b-e0a352c1c8b1,Pharmacy service,,PHARMACY,2024-03-05
14449,active,Pokolbin Village Pharmacy,2090 Broke Road Pokolbin NSW 2320,Pokolbin,NSW,2320,151.293163,-32.77392929,30f5b5b4-18c5-4da7-0d47-2a3601c346d7,Pharmacy service,GANSW718503385,PHARMACY,2024-03-05
14450,active,PharmaSave Clayton Central Pharmacy,373a Clayton Road Clayton VIC 3168,Clayton,VIC,3168,145.1189575,-37.92697144,78b39860-0b47-839c-1f78-b7195b4c7f5a,Pharmacy service,GAVIC413728988,PHARMACY,2024-03-05
14451,active,Pharmacy 777 Yanchep,1&2 Peony Boulevard Yanchep WA 6035,Yanchep,WA,6035,115.63906,-31.54923793,6c711230-17a5-477d-86cc-215ac7e24197,Pharmacy service,,PHARMACY,2024-03-05
14452,active,Kimberly Pharmacy Services - Derby,48 Clarendon Street Derby WA 6728,Derby,WA,6728,123.6296692,-17.30556488,7b2b27da-a0d0-fbd4-0aeb-f1d63647a00b,Pharmacy service,,PHARMACY,2024-03-05
14453,active,Chemist Warehouse Mildura Central Shopping Centre,Cnr Deakin Ave & Fifteenth Street Mildura VIC 3500,Mildura,VIC,3500,142.1396059,-34.20760605,69adacc5-adb0-482e-8412-ab10e6a8c471,Pharmacy service,,PHARMACY,2024-03-05
14454,active,Branxton Pharmacy,56 Maitland Street Branxton NSW 2335,Branxton,NSW,2335,151.3524475,-32.65634537,34a12203-017f-9822-a477-8dfee17a129e,Pharmacy service,GANSW716609829,PHARMACY,2024-03-05
14455,active,The Centre Pharmacy - Kootingal,12 Gate Street Kootingal NSW 2352,Kootingal,NSW,2352,151.0545197,-31.05818939,d6cdbf7f-eb30-52ea-22b9-43641a9da02c,Pharmacy service,GANSW712087156,PHARMACY,2024-03-05
14456,active,The Strand Chempro Chemist,72-80 Marine Parade Coolangatta QLD 4225,Coolangatta,QLD,4225,153.5380096,-28.16782188,9dc846d7-0798-93ed-28b8-6d5c58ac5725,Pharmacy service,,PHARMACY,2024-03-05
14457,active,Infinity Pharmacy  - Pialba,Main Street Hervey Bay QLD 4655,Hervey Bay,QLD,4655,152.8390045,-25.28199959,0c9816c8-e359-e32d-b111-a2c26176b570,Pharmacy service,,PHARMACY,2024-03-05
14458,active,Hillside Pharmacy,49 Royal Crescent Hillside VIC 3037,Hillside,VIC,3037,144.7386475,-37.68615723,32413843-99c5-f6ad-3d68-893a7a6cf437,Pharmacy service,,PHARMACY,2024-03-05
14459,active,TerryWhite Chemmart Greenwood Plaza,36 Blue Street North Sydney NSW 2060,North Sydney,NSW,2060,151.2070923,-33.83949661,1f089e2c-7e1c-29eb-5fa4-636a7611c2f8,Pharmacy service,,PHARMACY,2024-03-05
14460,active,Cincotta Pharmacy Kingsgrove,278-280 Kingsgrove Road Kingsgrove NSW 2208,Kingsgrove,NSW,2208,151.1017151,-33.94218063,9920444d-cbe2-5676-b2b0-c0a3d2fd384c,Pharmacy service,,PHARMACY,2024-03-05
14461,active,HORNSBY HEIGHTS PHARMACY,110 Galston Road Hornsby Heights NSW 2077,Hornsby Heights,NSW,2077,151.098465,-33.6764946,357e467a-7718-ca24-e6bc-7dd7ef051526,Pharmacy service,,PHARMACY,2024-03-05
14462,active,Chemist Warehouse - Moonee Ponds,88-92 Puckle Street Moonee Ponds VIC 3039,Moonee Ponds,VIC,3039,144.921814,-37.7664566,271a8c39-766f-4910-cdae-bed16f531c1a,Pharmacy service,GAVIC412948099,PHARMACY,2024-03-05
14463,active,Byford Discount Drug Store,14 Middleton Street Byron Bay NSW 2481,Byron Bay,NSW,2481,153.614662,-28.644484,a4e9eecf-4850-419b-3dd2-9e293bde9ecd,Pharmacy service,,PHARMACY,2024-03-05
14464,active,Batehaven Pharmacy,256 Beach Road Batehaven NSW 2536,Batehaven,NSW,2536,150.1995392,-35.73237228,489da913-7e4d-e038-b3c6-3b928c7c3e8a,Pharmacy service,GANSW708550065,PHARMACY,2024-03-05
14465,active,Guardian Pharmacy Home Hill,101 Eighth Avenue Home Hill QLD 4806,Home Hill,QLD,4806,147.4141541,-19.66368294,0214216a-c953-8fbc-deba-be9de810a7e9,Pharmacy service,,PHARMACY,2024-03-05
14466,active,Anna Bay Pharmacy,129 Gan Gan Road Anna Bay NSW 2316,Anna Bay,NSW,2316,152.083623,-32.777559,48fd22f8-4b48-adec-be8f-71e13e1f7e80,Pharmacy service,GANSW703921240,PHARMACY,2024-03-05
14467,active,Ormond Amcal Pharmacy,517 North Road Ormond VIC 3204,Ormond,VIC,3204,145.0410309,-37.90377808,e1b5760f-4c39-5a23-e14b-cf96cbf05627,Pharmacy service,GAVIC420547803,PHARMACY,2024-03-05
14468,active,PharmaSave Kurrajong Compounding Pharmacy,74c Old Bells Line Of Road Kurrajong NSW 2758,Kurrajong,NSW,2758,150.6665344,-33.55347061,42f5c44c-fa14-6438-e6d9-d98c6ea9f4c1,Pharmacy service,GANSW717380076,PHARMACY,2024-03-05
14469,active,Simons Pharmacy,1 Belmore Road Randwick NSW 2031,Randwick,NSW,2031,151.2397,-33.912987,6f0b7f55-2fc6-c7a6-82c8-83f03aa8ecad,Pharmacy service,GANSW705779153,PHARMACY,2024-03-05
14470,active,National Pharmacies Mount Barker,Cnr Hutchinson St/morphett St Mount Barker SA 5251,Mount Barker,SA,5251,138.8588104,-35.06554031,9a5880f7-819c-cbde-d5bf-bee6fc0e9a50,Pharmacy service,,PHARMACY,2024-03-05
14471,active,Priceline Pharmacy - Norwood,161-169 The Parade Norwood SA 5067,Norwood,SA,5067,138.6356354,-34.92060852,d6fb9776-ec68-043a-ffa1-cc7be6c9efc6,Pharmacy service,,PHARMACY,2024-03-05
14472,active,Omegavet Compounding,416 Kingsway Caringbah NSW 2229,Caringbah,NSW,2229,151.1173703,-34.03735837,bc31aef6-ad12-4f27-afda-d5dad1b56a72,Pharmacy service,,PHARMACY,2024-03-05
14473,active,Terry Bateman Amcal,28 Lochiel Avenue Mount Martha VIC 3934,Mount Martha,VIC,3934,145.013504,-38.26741028,9ecc5ea4-9151-4100-a486-5c36ba65e4f0,Pharmacy service,,PHARMACY,2024-03-05
14474,active,WINDSOR RD PHARMACY,2 Windsor Road Red Hill QLD 4059,Red Hill,QLD,4059,153.0067139,-27.45418549,a31841a7-c291-840f-10ec-77f1cccf8ff0,Pharmacy service,GAQLD155731443,PHARMACY,2024-03-05
14475,active,Infinity Pharmacy Heatherton Road,78 Heatherton Road Endeavour Hills VIC 3802,Endeavour Hills,VIC,3802,145.2594757,-37.97675705,9838b64a-c7c3-9628-8f89-e4f9c837950d,Pharmacy service,GAVIC424538725,PHARMACY,2024-03-05
14476,active,Amcal Express Burswood,265 Great Eastern Highway Burswood WA 6100,Burswood,WA,6100,115.9020309,-31.96011162,cc416277-b06f-2e08-d3ca-7a6f326d1888,Pharmacy service,GAWA_146651587,PHARMACY,2024-03-05
14477,active,Wallumbilla Pharmacy,41 George Street Wallumbilla QLD 4428,Wallumbilla,QLD,4428,149.185826,-26.586695,5babe301-cb0f-4597-a974-5589b0705f5b,Pharmacy service,GAQLD719960802,PHARMACY,2024-03-05
14478,active,Caulfield Chemist,618 Glen Huntly Road Caulfield South VIC 3162,Caulfield South,VIC,3162,145.0152435,-37.88632202,27043b8f-fe6a-f957-ecd4-eae5a0700b3f,Pharmacy service,GAVIC420249076,PHARMACY,2024-03-05
14479,active,TerryWhite Chemmart Banksia Grove,81 Ghost Gum Boulevard Banksia Grove WA 6031,Banksia Grove,WA,6031,115.802392,-31.703326,ca000578-6f67-47b2-64e9-c5415186e151,Pharmacy service,,PHARMACY,2024-03-05
14480,active,Fairfield Pharmacy,88e Station Street Fairfield VIC 3078,Fairfield,VIC,3078,145.017807,-37.77809525,93dd501e-34d7-f6fe-9560-878ef1ac09f9,Pharmacy service,GAVIC421849354,PHARMACY,2024-03-05
14481,active,Infinity Pharmacy Broadbeach,2681 Gold Coast Highway Broadbeach QLD 4218,Broadbeach,QLD,4218,153.43096,-28.030994,9827db0e-80f7-45d9-7579-9368271dd459,Pharmacy service,GAQLD156315221,PHARMACY,2024-03-05
14482,active,Claymore Pharmacy,19 Dobell Road Claymore NSW 2559,Claymore,NSW,2559,150.811295,-34.044682,d3477a12-75e2-0d68-0afa-dbce9da15181,Pharmacy service,GANSW712557220,PHARMACY,2024-03-05
14483,active,Woodend Pharmacy,118 High Street Woodend VIC 3442,Woodend,VIC,3442,144.5288696,-37.35562897,d7a2ba2f-99f4-61de-8e19-2fc8d7170d38,Pharmacy service,GAVIC420645359,PHARMACY,2024-03-05
14484,active,Chemist Warehouse Traralgon - Supercare Pharmacy,92 Franklin Street Traralgon VIC 3844,Traralgon,VIC,3844,146.5383453,-38.19602966,94400b6b-e54d-31c1-3e62-7753288fd67b,Pharmacy service,GAVIC419840893,PHARMACY,2024-03-05
14485,active,TerryWhite Chemmart - Palmyra,267 Canning Highway Palmyra WA 6157,Palmyra,WA,6157,115.7765579,-32.03868484,299f64d8-7ac6-927f-3e2a-5beb7fa6d205,Pharmacy service,GAWA_146763385,PHARMACY,2024-03-05
14486,active,Night Owl Pharmacy,743a Gilbert Road Reservoir VIC 3073,Reservoir,VIC,3073,144.9927368,-37.72037888,b8969a8b-35a4-61f8-7896-f55c1ad0e6c7,Pharmacy service,GAVIC419619395,PHARMACY,2024-03-05
14487,active,Hume City Pharmacy,510 Barry Road Coolaroo VIC 3048,Coolaroo,VIC,3048,144.9320831,-37.66469574,28cd5a4a-75b4-b55f-7ad2-1d4f55d74bbb,Pharmacy service,GAVIC411174518,PHARMACY,2024-03-05
14488,active,Karrinyup St Luke Pharmacy,57 Burroughs Road Karrinyup WA 6018,Karrinyup,WA,6018,115.7749834,-31.87621539,a2c2e36d-8a91-4f74-7f13-9d03307c4e22,Pharmacy service,GAWA_718635663,PHARMACY,2024-03-05
14489,active,Pharmacy 777 Leeming,51 Farrington Road Leeming WA 6149,Leeming,WA,6149,115.8576221,-32.078901,b537e8e0-2290-0b43-f7fc-1492538fc919,Pharmacy service,,PHARMACY,2024-03-05
14490,active,Hoppers Crossing Pharmacy,24-48 Old Geelong Road Hoppers Crossing VIC 3029,Hoppers Crossing,VIC,3029,144.7030029,-37.88179398,3ebe88b7-0f16-7066-e963-f16b1541ed3d,Pharmacy service,GAVIC412861606,PHARMACY,2024-03-05
14491,active,NORTHAMPTON PHARMACY,219 Hampton Road Northampton WA 6535,Northampton,WA,6535,114.6310883,-28.34987068,69d6562b-b1d6-56ca-571b-9ca7cbf5c3ea,Pharmacy service,GAWA_147078435,PHARMACY,2024-03-05
14492,active,Priceline Pharmacy - Midland Gate,274 Great Eastern Highway Midland WA 6056,Midland,WA,6056,116.0098114,-31.88885498,39ad1263-4c35-6622-b92f-e7f97d77781f,Pharmacy service,,PHARMACY,2024-03-05
14493,active,Mooloolah Valley Pharmacy,9 Bray Road Mooloolah QLD 4553,Mooloolah,QLD,4553,152.9615479,-26.76553154,922bda27-21af-3e64-3918-4e48a221af3b,Pharmacy service,,PHARMACY,2024-03-05
14494,active,Harvey Pharmacy,91 Uduc Road Harvey WA 6220,Harvey,WA,6220,115.8944397,-33.08063889,fb4e8ef3-d61f-395a-2045-6707dbb2fab3,Pharmacy service,GAWA_146975046,PHARMACY,2024-03-05
14495,active,Craven's Pharmacy (Victoria),134 Bridport St Albert Park VIC 3206,Albert Park,VIC,3206,144.955772,-37.840378,ffcefa98-52c0-0355-99f0-56af69b0a6bd,Pharmacy service,GAVIC420178994,PHARMACY,2024-03-05
14496,active,Downtown MediAdvice Pharmacy,51 Crown Street Wollongong NSW 2500,Wollongong,NSW,2500,150.899353,-34.42658234,05e2d92b-5f1b-e846-f423-6f6e04a68c40,Pharmacy service,,PHARMACY,2024-03-05
14497,active,Canossa Medical Centre Pharmacy,169 Seventeen Mile Rocks Road Oxley QLD 4075,Oxley,QLD,4075,152.9638367,-27.55203819,4cdccc7b-8247-eb46-5ab7-8fc981b5df80,Pharmacy service,,PHARMACY,2024-03-05
14498,active,Marraboor Pharmacy,34 Mccrae Street Swan Hill VIC 3585,Swan Hill,VIC,3585,143.5593567,-35.34073639,4b166420-5a18-21ed-ffee-e13636ba69bf,Pharmacy service,GAVIC419538032,PHARMACY,2024-03-05
14499,active,CROOKWELL PHARMACY,61 Goulburn Street Crookwell NSW 2583,Crookwell,NSW,2583,149.469162,-34.4571228,af57c8e3-4ce7-231e-27e6-dc06406329e1,Pharmacy service,GANSW712644359,PHARMACY,2024-03-05
14500,active,WESTPOINT CENTRE PHARMACY,1 Wark Parade Windradyne NSW 2795,Windradyne,NSW,2795,149.5460968,-33.40493011,68fd0448-5200-9179-93ee-412e6cdf1fb6,Pharmacy service,,PHARMACY,2024-03-05
14501,active,Deloraine Amcal Pharmacy,62-64 Emu Bay Road Deloraine TAS 7304,Deloraine,TAS,7304,146.6531847,-41.52500084,f77289dd-1240-1720-3aab-6ce7b90b8be0,Pharmacy service,GATAS702241311,PHARMACY,2024-03-05
14502,active,National Pharmacies Craigmore,Yorktown Road Craigmore SA 5114,Craigmore,SA,5114,138.7056732,-34.70801926,2ee7cb96-0c77-28dd-43d0-db6269a6f5e6,Pharmacy service,,PHARMACY,2024-03-05
14503,active,Silverton Pharmacy,133a Jacksons Road Noble Park North VIC 3174,Noble Park North,VIC,3174,145.1916199,-37.9461174,5c592151-c954-36f7-1b0b-d8a0a76ee1f8,Pharmacy service,,PHARMACY,2024-03-05
14504,active,Costigans Good Price Pharmacy Warehouse,227 Adelaide Street Maryborough QLD 4650,Maryborough,QLD,4650,152.7021179,-25.5386734,e5d773a1-26f9-c76a-bf41-6c863f09bbed,Pharmacy service,GAQLD155544187,PHARMACY,2024-03-05
14505,active,East Grampians Health Service - Ararat,5 Girdlestone Street Ararat VIC 3377,Ararat,VIC,3377,142.9322613,-37.27906027,b1c41a2e-00b0-41af-afaf-2d003ed94e01,Hospital pharmacy service,,PHARMACY,2024-03-05
