State,Quarter,Broad Type of Service,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service ($)
NSW,2009-10 Q3 (Mar Qtr),Specialist Attendances,29.6%,48.01
NSW,2009-10 Q3 (Mar Qtr),Specialist Attendances,19.4%,50.27
Vic,2009-10 Q3 (Mar Qtr),Specialist Attendances,26.5%,45.09
Vic,2009-10 Q3 (Mar Qtr),Specialist Attendances,34.8%,46.69
Vic,2009-10 Q3 (Mar Qtr),Specialist Attendances,22.0%,45.89
Vic,2009-10 Q3 (Mar Qtr),Specialist Attendances,24.0%,47.59
Vic,2009-10 Q3 (Mar Qtr),Specialist Attendances,40.3%,42.16
Vic,2009-10 Q3 (Mar Qtr),Specialist Attendances,26.9%,41.08
Vic,2009-10 Q3 (Mar Qtr),Specialist Attendances,21.2%,38.11
Qld,2009-10 Q3 (Mar Qtr),Specialist Attendances,19.2%,52.27
Qld,2009-10 Q3 (Mar Qtr),Specialist Attendances,16.5%,54.54
Qld,2009-10 Q3 (Mar Qtr),Specialist Attendances,17.8%,52.06
Qld,2009-10 Q3 (Mar Qtr),Specialist Attendances,18.7%,52.12
Qld,2009-10 Q3 (Mar Qtr),Specialist Attendances,21.4%,48.38
Qld,2009-10 Q3 (Mar Qtr),Specialist Attendances,24.1%,54.87
Qld,2009-10 Q3 (Mar Qtr),Specialist Attendances,18.6%,51.29
Qld,2009-10 Q3 (Mar Qtr),Specialist Attendances,26.4%,52.50
SA,2009-10 Q3 (Mar Qtr),Specialist Attendances,30.2%,36.14
SA,2009-10 Q3 (Mar Qtr),Specialist Attendances,30.1%,36.43
SA,2009-10 Q3 (Mar Qtr),Specialist Attendances,30.7%,35.23
WA,2009-10 Q3 (Mar Qtr),Specialist Attendances,14.4%,48.19
WA,2009-10 Q3 (Mar Qtr),Specialist Attendances,13.3%,49.94
WA,2009-10 Q3 (Mar Qtr),Specialist Attendances,14.0%,47.27
WA,2009-10 Q3 (Mar Qtr),Specialist Attendances,18.8%,44.94
Tas,2009-10 Q3 (Mar Qtr),Specialist Attendances,28.0%,37.91
Tas,2009-10 Q3 (Mar Qtr),Specialist Attendances,28.0%,37.91
NT,2009-10 Q3 (Mar Qtr),Specialist Attendances,48.1%,52.34
NT,2009-10 Q3 (Mar Qtr),Specialist Attendances,48.1%,52.34
ACT,2009-10 Q3 (Mar Qtr),Specialist Attendances,23.1%,62.68
ACT,2009-10 Q3 (Mar Qtr),Specialist Attendances,23.1%,62.68
Unk,2009-10 Q3 (Mar Qtr),Specialist Attendances,19.5%,47.00
Unk,2009-10 Q3 (Mar Qtr),Specialist Attendances,19.5%,47.00
Australia,2009-10 Q3 (Mar Qtr),Obstetrics,38.1%,115.64
NSW,2009-10 Q3 (Mar Qtr),Obstetrics,40.0%,117.50
NSW,2009-10 Q3 (Mar Qtr),Obstetrics,28.0%,155.28
NSW,2009-10 Q3 (Mar Qtr),Obstetrics,12.5%,118.43
NSW,2009-10 Q3 (Mar Qtr),Obstetrics,56.9%,136.99
NSW,2009-10 Q3 (Mar Qtr),Obstetrics,36.2%,67.20
NSW,2009-10 Q3 (Mar Qtr),Obstetrics,58.4%,219.31
NSW,2009-10 Q3 (Mar Qtr),Obstetrics,49.7%,102.00
NSW,2009-10 Q3 (Mar Qtr),Obstetrics,48.7%,22.78
NSW,2009-10 Q3 (Mar Qtr),Obstetrics,51.5%,91.63
NSW,2009-10 Q3 (Mar Qtr),Obstetrics,38.8%,69.18
NSW,2009-10 Q3 (Mar Qtr),Obstetrics,40.3%,47.46
Vic,2009-10 Q3 (Mar Qtr),Obstetrics,43.9%,126.98
Vic,2009-10 Q3 (Mar Qtr),Obstetrics,47.1%,169.25
Vic,2009-10 Q3 (Mar Qtr),Obstetrics,42.5%,148.17
Vic,2009-10 Q3 (Mar Qtr),Obstetrics,41.7%,128.13
Vic,2009-10 Q3 (Mar Qtr),Obstetrics,54.7%,32.69
Vic,2009-10 Q3 (Mar Qtr),Obstetrics,33.5%,42.25
Vic,2009-10 Q3 (Mar Qtr),Obstetrics,46.4%,97.21
Qld,2009-10 Q3 (Mar Qtr),Obstetrics,31.0%,104.74
Qld,2009-10 Q3 (Mar Qtr),Obstetrics,15.5%,113.10
Qld,2009-10 Q3 (Mar Qtr),Obstetrics,32.2%,122.79
Qld,2009-10 Q3 (Mar Qtr),Obstetrics,42.9%,99.17
Qld,2009-10 Q3 (Mar Qtr),Obstetrics,31.4%,86.02
Qld,2009-10 Q3 (Mar Qtr),Obstetrics,42.6%,63.50
Qld,2009-10 Q3 (Mar Qtr),Obstetrics,30.7%,104.77
Qld,2009-10 Q3 (Mar Qtr),Obstetrics,35.9%,83.09
SA,2009-10 Q3 (Mar Qtr),Obstetrics,47.9%,115.00
SA,2009-10 Q3 (Mar Qtr),Obstetrics,45.5%,153.54
SA,2009-10 Q3 (Mar Qtr),Obstetrics,51.6%,51.76
WA,2009-10 Q3 (Mar Qtr),Obstetrics,26.5%,109.70
WA,2009-10 Q3 (Mar Qtr),Obstetrics,14.7%,136.09
WA,2009-10 Q3 (Mar Qtr),Obstetrics,32.7%,116.35
WA,2009-10 Q3 (Mar Qtr),Obstetrics,34.4%,53.53
Tas,2009-10 Q3 (Mar Qtr),Obstetrics,40.9%,60.52
Tas,2009-10 Q3 (Mar Qtr),Obstetrics,40.9%,60.52
NT,2009-10 Q3 (Mar Qtr),Obstetrics,56.9%,139.86
NT,2009-10 Q3 (Mar Qtr),Obstetrics,56.9%,139.86
ACT,2009-10 Q3 (Mar Qtr),Obstetrics,7.1%,173.72
ACT,2009-10 Q3 (Mar Qtr),Obstetrics,7.1%,173.72
Unk,2009-10 Q3 (Mar Qtr),Obstetrics,42.9%,489.83
Unk,2009-10 Q3 (Mar Qtr),Obstetrics,42.9%,489.83
Australia,2009-10 Q3 (Mar Qtr),Anaesthetics,8.3%,99.38
NSW,2009-10 Q3 (Mar Qtr),Anaesthetics,8.8%,74.96
NSW,2009-10 Q3 (Mar Qtr),Anaesthetics,8.2%,96.92
NSW,2009-10 Q3 (Mar Qtr),Anaesthetics,3.7%,95.51
NSW,2009-10 Q3 (Mar Qtr),Anaesthetics,11.0%,65.85
NSW,2009-10 Q3 (Mar Qtr),Anaesthetics,8.2%,83.95
NSW,2009-10 Q3 (Mar Qtr),Anaesthetics,13.5%,57.56
NSW,2009-10 Q3 (Mar Qtr),Anaesthetics,10.1%,83.99
NSW,2009-10 Q3 (Mar Qtr),Anaesthetics,8.2%,110.71
NSW,2009-10 Q3 (Mar Qtr),Anaesthetics,10.3%,77.01
NSW,2009-10 Q3 (Mar Qtr),Anaesthetics,9.3%,40.10
NSW,2009-10 Q3 (Mar Qtr),Anaesthetics,7.4%,28.28
Vic,2009-10 Q3 (Mar Qtr),Anaesthetics,9.7%,101.01
Vic,2009-10 Q3 (Mar Qtr),Anaesthetics,15.3%,112.97
Vic,2009-10 Q3 (Mar Qtr),Anaesthetics,7.3%,116.93
Vic,2009-10 Q3 (Mar Qtr),Anaesthetics,10.4%,87.09
Vic,2009-10 Q3 (Mar Qtr),Anaesthetics,22.0%,46.65
Vic,2009-10 Q3 (Mar Qtr),Anaesthetics,3.5%,39.71
Vic,2009-10 Q3 (Mar Qtr),Anaesthetics,4.1%,149.23
Qld,2009-10 Q3 (Mar Qtr),Anaesthetics,8.9%,107.28
Qld,2009-10 Q3 (Mar Qtr),Anaesthetics,8.7%,125.28
Qld,2009-10 Q3 (Mar Qtr),Anaesthetics,11.9%,141.82
Qld,2009-10 Q3 (Mar Qtr),Anaesthetics,9.9%,36.62
Qld,2009-10 Q3 (Mar Qtr),Anaesthetics,7.0%,76.34
Qld,2009-10 Q3 (Mar Qtr),Anaesthetics,5.9%,104.13
Qld,2009-10 Q3 (Mar Qtr),Anaesthetics,8.3%,107.80
Qld,2009-10 Q3 (Mar Qtr),Anaesthetics,6.1%,104.48
SA,2009-10 Q3 (Mar Qtr),Anaesthetics,5.8%,127.41
SA,2009-10 Q3 (Mar Qtr),Anaesthetics,5.9%,155.09
SA,2009-10 Q3 (Mar Qtr),Anaesthetics,5.3%,80.95
WA,2009-10 Q3 (Mar Qtr),Anaesthetics,4.4%,156.16
WA,2009-10 Q3 (Mar Qtr),Anaesthetics,4.1%,151.08
WA,2009-10 Q3 (Mar Qtr),Anaesthetics,4.5%,178.77
WA,2009-10 Q3 (Mar Qtr),Anaesthetics,4.9%,107.64
Tas,2009-10 Q3 (Mar Qtr),Anaesthetics,7.1%,120.70
Tas,2009-10 Q3 (Mar Qtr),Anaesthetics,7.1%,120.70
NT,2009-10 Q3 (Mar Qtr),Anaesthetics,4.7%,153.94
NT,2009-10 Q3 (Mar Qtr),Anaesthetics,4.7%,153.94
ACT,2009-10 Q3 (Mar Qtr),Anaesthetics,4.5%,70.47
ACT,2009-10 Q3 (Mar Qtr),Anaesthetics,4.5%,70.47
Unk,2009-10 Q3 (Mar Qtr),Anaesthetics,5.3%,38.30
Unk,2009-10 Q3 (Mar Qtr),Anaesthetics,5.3%,38.30
Australia,2009-10 Q3 (Mar Qtr),Total Pathology,85.0%,22.82
NSW,2009-10 Q3 (Mar Qtr),Total Pathology,86.1%,26.27
NSW,2009-10 Q3 (Mar Qtr),Total Pathology,85.5%,28.44
NSW,2009-10 Q3 (Mar Qtr),Total Pathology,78.0%,26.77
NSW,2009-10 Q3 (Mar Qtr),Total Pathology,90.3%,27.86
NSW,2009-10 Q3 (Mar Qtr),Total Pathology,90.2%,34.27
NSW,2009-10 Q3 (Mar Qtr),Total Pathology,90.3%,29.96
NSW,2009-10 Q3 (Mar Qtr),Total Pathology,86.9%,24.87
NSW,2009-10 Q3 (Mar Qtr),Total Pathology,88.5%,35.66
NSW,2009-10 Q3 (Mar Qtr),Total Pathology,86.6%,28.34
NSW,2009-10 Q3 (Mar Qtr),Total Pathology,82.2%,17.87
NSW,2009-10 Q3 (Mar Qtr),Total Pathology,85.3%,30.04
Vic,2009-10 Q3 (Mar Qtr),Total Pathology,86.0%,27.80
Vic,2009-10 Q3 (Mar Qtr),Total Pathology,88.6%,29.31
Vic,2009-10 Q3 (Mar Qtr),Total Pathology,83.7%,28.70
Vic,2009-10 Q3 (Mar Qtr),Total Pathology,85.2%,27.35
Vic,2009-10 Q3 (Mar Qtr),Total Pathology,92.1%,21.88
Vic,2009-10 Q3 (Mar Qtr),Total Pathology,88.5%,25.90
Vic,2009-10 Q3 (Mar Qtr),Total Pathology,82.6%,27.34
Qld,2009-10 Q3 (Mar Qtr),Total Pathology,79.8%,18.62
Qld,2009-10 Q3 (Mar Qtr),Total Pathology,79.5%,18.57
Qld,2009-10 Q3 (Mar Qtr),Total Pathology,79.2%,18.07
Qld,2009-10 Q3 (Mar Qtr),Total Pathology,79.9%,18.69
Qld,2009-10 Q3 (Mar Qtr),Total Pathology,76.8%,18.76
Qld,2009-10 Q3 (Mar Qtr),Total Pathology,76.5%,18.49
Qld,2009-10 Q3 (Mar Qtr),Total Pathology,83.3%,20.25
Qld,2009-10 Q3 (Mar Qtr),Total Pathology,79.2%,17.96
SA,2009-10 Q3 (Mar Qtr),Total Pathology,88.3%,21.36
SA,2009-10 Q3 (Mar Qtr),Total Pathology,87.1%,20.76
SA,2009-10 Q3 (Mar Qtr),Total Pathology,91.7%,24.45
WA,2009-10 Q3 (Mar Qtr),Total Pathology,84.9%,16.59
WA,2009-10 Q3 (Mar Qtr),Total Pathology,82.5%,15.90
WA,2009-10 Q3 (Mar Qtr),Total Pathology,84.9%,18.20
WA,2009-10 Q3 (Mar Qtr),Total Pathology,90.3%,14.20
Tas,2009-10 Q3 (Mar Qtr),Total Pathology,84.3%,35.77
Tas,2009-10 Q3 (Mar Qtr),Total Pathology,84.3%,35.77
NT,2009-10 Q3 (Mar Qtr),Total Pathology,96.2%,17.92
NT,2009-10 Q3 (Mar Qtr),Total Pathology,96.2%,17.92
ACT,2009-10 Q3 (Mar Qtr),Total Pathology,85.7%,19.49
ACT,2009-10 Q3 (Mar Qtr),Total Pathology,85.7%,19.49
Unk,2009-10 Q3 (Mar Qtr),Total Pathology,89.0%,17.79
Unk,2009-10 Q3 (Mar Qtr),Total Pathology,89.0%,17.79
Australia,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,70.2%,76.68
NSW,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,74.6%,76.61
NSW,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,75.5%,86.94
NSW,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,55.9%,79.30
NSW,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,84.9%,78.63
NSW,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,86.5%,68.10
NSW,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,88.3%,74.94
NSW,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,68.0%,71.58
NSW,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,86.4%,77.46
NSW,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,72.3%,74.00
NSW,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,56.4%,65.17
NSW,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,64.9%,76.97
Vic,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,68.9%,73.44
Vic,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,77.7%,76.82
Vic,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,63.9%,75.22
Vic,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,66.0%,79.86
Vic,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,73.6%,55.89
Vic,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,70.3%,57.88
Vic,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,64.4%,70.03
Qld,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,73.2%,77.31
Qld,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,65.7%,77.77
Qld,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,73.6%,84.12
Qld,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,71.2%,81.87
Qld,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,71.2%,64.91
Qld,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,58.2%,82.18
Qld,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,80.6%,67.04
Qld,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,76.7%,80.72
SA,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,68.3%,71.95
SA,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,69.3%,71.41
SA,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,65.7%,73.11
WA,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,54.1%,81.33
WA,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,52.8%,80.74
WA,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,48.8%,79.86
WA,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,66.5%,87.59
Tas,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,71.2%,68.05
Tas,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,71.2%,68.05
NT,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,61.8%,93.91
NT,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,61.8%,93.91
ACT,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,45.6%,97.02
ACT,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,45.6%,97.02
Unk,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,63.7%,74.21
Unk,2009-10 Q3 (Mar Qtr),Diagnostic Imaging,63.7%,74.21
Australia,2009-10 Q3 (Mar Qtr),Total Operations,41.2%,60.37
NSW,2009-10 Q3 (Mar Qtr),Total Operations,45.7%,69.47
NSW,2009-10 Q3 (Mar Qtr),Total Operations,34.6%,76.19
NSW,2009-10 Q3 (Mar Qtr),Total Operations,32.4%,69.60
NSW,2009-10 Q3 (Mar Qtr),Total Operations,48.0%,72.36
NSW,2009-10 Q3 (Mar Qtr),Total Operations,50.7%,89.50
NSW,2009-10 Q3 (Mar Qtr),Total Operations,53.1%,94.71
NSW,2009-10 Q3 (Mar Qtr),Total Operations,44.7%,66.91
NSW,2009-10 Q3 (Mar Qtr),Total Operations,52.5%,59.79
NSW,2009-10 Q3 (Mar Qtr),Total Operations,53.1%,55.89
NSW,2009-10 Q3 (Mar Qtr),Total Operations,61.8%,64.70
NSW,2009-10 Q3 (Mar Qtr),Total Operations,34.9%,40.77
Vic,2009-10 Q3 (Mar Qtr),Total Operations,30.2%,53.88
Vic,2009-10 Q3 (Mar Qtr),Total Operations,35.7%,60.23
Vic,2009-10 Q3 (Mar Qtr),Total Operations,24.7%,56.96
Vic,2009-10 Q3 (Mar Qtr),Total Operations,29.3%,60.54
Vic,2009-10 Q3 (Mar Qtr),Total Operations,43.5%,45.97
Vic,2009-10 Q3 (Mar Qtr),Total Operations,31.3%,39.45
Vic,2009-10 Q3 (Mar Qtr),Total Operations,29.2%,44.65
Qld,2009-10 Q3 (Mar Qtr),Total Operations,49.8%,64.14
Qld,2009-10 Q3 (Mar Qtr),Total Operations,46.4%,59.82
Qld,2009-10 Q3 (Mar Qtr),Total Operations,48.4%,59.53
Qld,2009-10 Q3 (Mar Qtr),Total Operations,56.3%,83.58
Qld,2009-10 Q3 (Mar Qtr),Total Operations,49.8%,60.59
Qld,2009-10 Q3 (Mar Qtr),Total Operations,45.4%,51.89
Qld,2009-10 Q3 (Mar Qtr),Total Operations,51.1%,66.78
Qld,2009-10 Q3 (Mar Qtr),Total Operations,48.9%,64.23
SA,2009-10 Q3 (Mar Qtr),Total Operations,30.4%,37.25
SA,2009-10 Q3 (Mar Qtr),Total Operations,28.8%,38.49
SA,2009-10 Q3 (Mar Qtr),Total Operations,34.7%,34.41
WA,2009-10 Q3 (Mar Qtr),Total Operations,34.9%,53.36
WA,2009-10 Q3 (Mar Qtr),Total Operations,32.9%,53.32
WA,2009-10 Q3 (Mar Qtr),Total Operations,36.7%,54.11
WA,2009-10 Q3 (Mar Qtr),Total Operations,36.4%,52.14
Tas,2009-10 Q3 (Mar Qtr),Total Operations,34.6%,48.29
Tas,2009-10 Q3 (Mar Qtr),Total Operations,34.6%,48.29
NT,2009-10 Q3 (Mar Qtr),Total Operations,40.7%,63.22
NT,2009-10 Q3 (Mar Qtr),Total Operations,40.7%,63.22
ACT,2009-10 Q3 (Mar Qtr),Total Operations,24.9%,69.18
ACT,2009-10 Q3 (Mar Qtr),Total Operations,24.9%,69.18
Unk,2009-10 Q3 (Mar Qtr),Total Operations,45.1%,59.83
Unk,2009-10 Q3 (Mar Qtr),Total Operations,45.1%,59.83
Australia,2009-10 Q3 (Mar Qtr),Optometry,96.7%,11.08
NSW,2009-10 Q3 (Mar Qtr),Optometry,97.1%,11.64
NSW,2009-10 Q3 (Mar Qtr),Optometry,96.8%,12.01
NSW,2009-10 Q3 (Mar Qtr),Optometry,94.0%,10.18
NSW,2009-10 Q3 (Mar Qtr),Optometry,98.5%,11.47
NSW,2009-10 Q3 (Mar Qtr),Optometry,97.4%,14.02
NSW,2009-10 Q3 (Mar Qtr),Optometry,99.1%,13.72
NSW,2009-10 Q3 (Mar Qtr),Optometry,97.2%,12.00
NSW,2009-10 Q3 (Mar Qtr),Optometry,98.4%,11.12
NSW,2009-10 Q3 (Mar Qtr),Optometry,97.1%,12.93
NSW,2009-10 Q3 (Mar Qtr),Optometry,96.4%,10.51
NSW,2009-10 Q3 (Mar Qtr),Optometry,96.5%,11.66
Vic,2009-10 Q3 (Mar Qtr),Optometry,96.3%,10.78
Vic,2009-10 Q3 (Mar Qtr),Optometry,98.4%,11.89
Vic,2009-10 Q3 (Mar Qtr),Optometry,95.8%,9.68
Vic,2009-10 Q3 (Mar Qtr),Optometry,96.9%,13.30
Vic,2009-10 Q3 (Mar Qtr),Optometry,86.7%,9.04
Vic,2009-10 Q3 (Mar Qtr),Optometry,94.2%,10.84
Vic,2009-10 Q3 (Mar Qtr),Optometry,99.1%,14.27
Qld,2009-10 Q3 (Mar Qtr),Optometry,96.8%,10.16
Qld,2009-10 Q3 (Mar Qtr),Optometry,94.6%,9.48
Qld,2009-10 Q3 (Mar Qtr),Optometry,98.1%,11.18
Qld,2009-10 Q3 (Mar Qtr),Optometry,97.8%,7.50
Qld,2009-10 Q3 (Mar Qtr),Optometry,96.2%,10.58
Qld,2009-10 Q3 (Mar Qtr),Optometry,98.9%,10.37
Qld,2009-10 Q3 (Mar Qtr),Optometry,98.0%,12.89
Qld,2009-10 Q3 (Mar Qtr),Optometry,95.5%,10.02
SA,2009-10 Q3 (Mar Qtr),Optometry,97.2%,10.26
SA,2009-10 Q3 (Mar Qtr),Optometry,97.6%,9.70
SA,2009-10 Q3 (Mar Qtr),Optometry,96.1%,11.16
WA,2009-10 Q3 (Mar Qtr),Optometry,95.8%,12.51
WA,2009-10 Q3 (Mar Qtr),Optometry,96.8%,13.36
WA,2009-10 Q3 (Mar Qtr),Optometry,95.5%,11.84
WA,2009-10 Q3 (Mar Qtr),Optometry,94.2%,12.43
Tas,2009-10 Q3 (Mar Qtr),Optometry,98.2%,7.70
Tas,2009-10 Q3 (Mar Qtr),Optometry,98.2%,7.70
NT,2009-10 Q3 (Mar Qtr),Optometry,99.4%,21.18
NT,2009-10 Q3 (Mar Qtr),Optometry,99.4%,21.18
ACT,2009-10 Q3 (Mar Qtr),Optometry,92.6%,11.31
ACT,2009-10 Q3 (Mar Qtr),Optometry,92.6%,11.31
Unk,2009-10 Q3 (Mar Qtr),Optometry,100.0%,-
Unk,2009-10 Q3 (Mar Qtr),Optometry,100.0%,-
Australia,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,39.7%,17.98
NSW,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,62.4%,30.12
NSW,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,67.5%,20.81
NSW,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,9.8%,30.23
NSW,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,83.2%,57.01
NSW,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,97.4%,4.26
NSW,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,86.0%,23.55
NSW,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,93.1%,38.10
NSW,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,41.6%,20.47
NSW,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,69.1%,40.98
NSW,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,67.9%,39.88
NSW,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,6.3%,18.10
Vic,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,13.5%,11.38
Vic,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,4.7%,13.99
Vic,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,7.5%,12.80
Vic,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,19.6%,12.11
Vic,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,65.4%,6.55
Vic,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,11.0%,10.45
Vic,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,7.4%,4.33
Qld,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,62.4%,33.85
Qld,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,59.1%,40.82
Qld,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,87.3%,42.99
Qld,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,36.4%,34.50
Qld,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,45.7%,21.60
Qld,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,44.9%,22.03
Qld,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,52.3%,38.09
Qld,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,85.9%,25.72
SA,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,6.3%,18.87
SA,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,7.0%,18.90
SA,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,4.5%,18.80
WA,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,21.4%,10.80
WA,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,15.7%,13.60
WA,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,26.3%,10.40
WA,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,24.5%,4.92
Tas,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,33.0%,0.78
Tas,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,33.0%,0.78
NT,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,17.5%,10.04
NT,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,17.5%,10.04
ACT,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,94.6%,42.97
ACT,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,94.6%,42.97
Unk,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,0.0%,-
Unk,2009-10 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,0.0%,-
Australia,2009-10 Q3 (Mar Qtr),Other MBS Services,51.9%,64.41
NSW,2009-10 Q3 (Mar Qtr),Other MBS Services,58.5%,68.96
NSW,2009-10 Q3 (Mar Qtr),Other MBS Services,59.1%,88.88
NSW,2009-10 Q3 (Mar Qtr),Other MBS Services,39.6%,82.91
NSW,2009-10 Q3 (Mar Qtr),Other MBS Services,65.6%,73.59
NSW,2009-10 Q3 (Mar Qtr),Other MBS Services,67.5%,69.18
NSW,2009-10 Q3 (Mar Qtr),Other MBS Services,69.2%,54.01
NSW,2009-10 Q3 (Mar Qtr),Other MBS Services,64.3%,59.88
NSW,2009-10 Q3 (Mar Qtr),Other MBS Services,64.3%,65.61
NSW,2009-10 Q3 (Mar Qtr),Other MBS Services,58.5%,58.83
NSW,2009-10 Q3 (Mar Qtr),Other MBS Services,55.5%,47.87
NSW,2009-10 Q3 (Mar Qtr),Other MBS Services,44.7%,36.63
Vic,2009-10 Q3 (Mar Qtr),Other MBS Services,55.7%,56.34
Vic,2009-10 Q3 (Mar Qtr),Other MBS Services,63.0%,82.22
Vic,2009-10 Q3 (Mar Qtr),Other MBS Services,51.8%,58.15
Vic,2009-10 Q3 (Mar Qtr),Other MBS Services,53.9%,54.36
Vic,2009-10 Q3 (Mar Qtr),Other MBS Services,66.5%,28.75
Vic,2009-10 Q3 (Mar Qtr),Other MBS Services,56.4%,49.09
Vic,2009-10 Q3 (Mar Qtr),Other MBS Services,49.3%,32.01
Qld,2009-10 Q3 (Mar Qtr),Other MBS Services,41.8%,67.13
